level,old_hp,new_hp,hp_increment,upgrade_stone,upgrade_wood,total_stone,total_wood
1,1200,1200,0,0,0,30,10
2,1325,1320,120,12,4,42,14
3,1440,1440,120,15,5,57,19
4,1546,1560,120,18,6,75,25
5,1645,1680,120,21,7,96,32
6,1739,1800,120,24,8,120,40
7,1828,1920,120,27,9,147,49
8,1912,2040,120,30,10,177,59
9,1993,2160,120,33,11,210,70
10,2071,2280,120,36,12,246,82
11,2146,2400,120,39,13,285,95
12,2219,2520,120,42,14,327,109
13,2288,2640,120,45,15,372,124
14,2357,2760,120,48,16,420,140
15,2423,2880,120,51,17,471,157
16,2488,3000,120,54,18,525,175
17,2551,3120,120,57,19,582,194
18,2612,3240,120,60,20,642,214
19,2672,3360,120,63,21,705,235
20,2730,3480,120,66,22,771,257
21,2788,3600,120,67,22,838,279
22,2844,3709,109,69,23,907,302
23,2899,3811,102,70,23,977,325
24,2953,3907,96,72,24,1049,349
25,3006,3997,90,73,24,1122,373
26,3059,4084,87,75,25,1197,398
27,3110,4165,81,76,25,1273,423
28,3161,4244,79,78,26,1351,449
29,3210,4320,76,79,26,1430,475
30,3259,4392,72,81,27,1511,502
31,3307,4463,71,81,27,1592,529
32,3355,4531,68,81,27,1673,556
33,3402,4597,66,81,27,1754,583
34,3449,4661,64,81,27,1835,610
35,3494,4724,63,81,27,1916,637
36,3539,4786,62,81,27,1997,664
37,3583,4844,58,81,27,2078,691
38,3628,4903,59,81,27,2159,718
39,3671,4960,57,81,27,2240,745
40,3714,5016,56,81,27,2321,772
41,3756,5070,54,81,27,2402,799
42,3798,5124,54,81,27,2483,826
43,3840,5177,53,81,27,2564,853
44,3881,5228,51,81,27,2645,880
45,3922,5280,52,81,27,2726,907
46,3961,5329,49,81,27,2807,934
47,4001,5378,49,81,27,2888,961
48,4040,5426,48,81,27,2969,988
49,4080,5474,48,81,27,3050,1015
50,4118,5521,47,81,27,3131,1042
51,4157,5568,47,81,27,3212,1069
52,4194,5614,46,81,27,3293,1096
53,4232,5659,45,81,27,3374,1123
54,4270,5704,45,81,27,3455,1150
55,4306,5747,43,81,27,3536,1177
56,4343,5790,43,81,27,3617,1204
57,4379,5833,43,81,27,3698,1231
58,4415,5875,42,81,27,3779,1258
59,4451,5917,42,81,27,3860,1285
60,4486,5958,41,81,27,3941,1312
61,4522,6000,42,81,27,4022,1339
62,4556,6040,40,81,27,4103,1366
63,4591,6080,40,81,27,4184,1393
64,4625,6120,40,81,27,4265,1420
65,4660,6158,38,81,27,4346,1447
66,4693,6197,39,81,27,4427,1474
67,4727,6235,38,81,27,4508,1501
68,4760,6274,39,81,27,4589,1528
69,4793,6312,38,81,27,4670,1555
70,4826,6349,37,81,27,4751,1582
71,4859,6385,36,81,27,4832,1609
72,4891,6422,37,81,27,4913,1636
73,4924,6458,36,81,27,4994,1663
74,4956,6494,36,81,27,5075,1690
75,4987,6530,36,81,27,5156,1717
76,5020,6566,36,81,27,5237,1744
77,5051,6601,35,81,27,5318,1771
78,5082,6636,35,81,27,5399,1798
79,5113,6671,35,81,27,5480,1825
80,5144,6704,33,81,27,5561,1852
81,5174,6739,35,81,27,5642,1879
82,5206,6773,34,81,27,5723,1906
83,5236,6806,33,81,27,5804,1933
84,5266,6840,34,81,27,5885,1960
85,5296,6872,32,81,27,5966,1987
86,5326,6905,33,81,27,6047,2014
87,5356,6938,33,81,27,6128,2041
88,5384,6970,32,81,27,6209,2068
89,5414,7002,32,81,27,6290,2095
90,5443,7034,32,81,27,6371,2122
91,5472,7066,32,81,27,6452,2149
92,5501,7097,31,81,27,6533,2176
93,5530,7129,32,81,27,6614,2203
94,5558,7159,30,81,27,6695,2230
95,5587,7190,31,81,27,6776,2257
96,5615,7222,32,81,27,6857,2284
97,5644,7252,30,81,27,6938,2311
98,5671,7282,30,81,27,7019,2338
99,5699,7313,31,81,27,7100,2365
100,5726,7343,30,81,27,7181,2392
