map,speed,report_tick,seconds,remaining_build_seconds
gen_01001000.json,0.13,-1,,
gen_01001000.json,0.2,-1,,
gen_01002000.json,0.13,679,33.95,11.05
gen_01002000.json,0.2,538,26.9,18.1
gen_01003000.json,0.13,648,32.4,12.6
gen_01003000.json,0.2,513,25.65,19.35
gen_01004000.json,0.13,650,32.5,12.5
gen_01004000.json,0.2,515,25.75,19.25
gen_01005000.json,0.13,647,32.35,12.65
gen_01005000.json,0.2,513,25.65,19.35
gen_01006001.json,0.13,634,31.7,13.3
gen_01006001.json,0.2,505,25.25,19.75
gen_01007000.json,0.13,-1,,
gen_01007000.json,0.2,-1,,
gen_01008000.json,0.13,675,33.75,11.25
gen_01008000.json,0.2,532,26.6,18.4
gen_01009000.json,0.13,647,32.35,12.65
gen_01009000.json,0.2,513,25.65,19.35
gen_01010001.json,0.13,669,33.45,11.55
gen_01010001.json,0.2,527,26.35,18.65
gen_01011000.json,0.13,634,31.7,13.3
gen_01011000.json,0.2,505,25.25,19.75
gen_01012000.json,0.13,675,33.75,11.25
gen_01012000.json,0.2,532,26.6,18.4
